keys,us_en
null,INVALID
upgrade.full,Fully Upgraded
upgrade.ads,Ads
upgrade.ads.0,Text Banner Ads
upgrade.ads.1,Referral Links
upgrade.ads.2,Text Popup Ads
upgrade.ads.3,Image Popup Ads
upgrade.ads.4,Skip-able Video Ads
upgrade.ads.5,Unskip-able Video Ads
upgrade.server,Server
upgrade.server.0,Blackberry Flip Phone
upgrade.server.1,Raspberry Pi
upgrade.server.2,Old Laptop
upgrade.server.3,Raspberry Pi Cluster
upgrade.server.4,Small Server Rack
upgrade.server.5,AMD Ryzen Epic
upgrade.developer,Web Developers
upgrade.developer.0,Intern
upgrade.developer.1,Fleet of Interns
upgrade.developer.2,Junior Javascript Dev
upgrade.developer.3,Senior Javascript Dev
upgrade.developer.4,Fleet of Javascript Devs
upgrade.developer.5,Junior Fullstack Dev
upgrade.developer.6,Senior Fullstack Dev
upgrade.developer.7,Fleet of Fullstack Devs
upgrade.developer.8,Open Sourcing
upgrade.seo,Search Engine Optimization
upgrade.seo.0,Meta Tags
upgrade.seo.1,Sitemap
upgrade.seo.2,Advanced SEO
upgrade.seo.3,Black Magic SEO
upgrade.seo.4,Corporate Espionage
upgrade.blog,Blog
upgrade.blog.0,Personal Blog
upgrade.blog.1,Developer Blog
upgrade.blog.2,Micro-blogging
upgrade.blog.3,Comments
ad.popup.0,Free Virus Scan!!!
ad.popup.1,"Virus Detected!
Click Now To Scan"
ad.popup.2,Try Google Chrome Today
ad.popup.3,Switch To Edge Or Elseâ€¦
ad.popup.4,Ad Blocker Free Download
